order,P,T,L,ST
0,808804.2331182366,31.284171837031405,3524.402678342055,0.02345261093225972
1,1603145.9670480443,31.118027771996932,859.4306910718788,0.003946898516268251
2,2583754.561250218,31.020040096031636,324.5660978302594,0.0010930105892660628
3,3680929.837712765,30.962288665149615,158.5573421170161,0.0004156027536167387
4,4854215.450654592,30.92964532490965,90.9588104663561,0.00019390474283521988
5,6077546.507757531,30.913925557009506,58.12493641896108,0.00010406472410371451
6,7335204.301225515,30.9099933696414,40.08048657847252,6.171979901211771e-05
7,8615202.155299528,30.914763867140113,29.24433522675319,3.9449003901297005e-05
8,9909153.607698439,30.926114390323672,22.28284810493422,2.6712685180120402e-05
9,11210277.915913537,30.94262490717491,17.57077057376633,1.8937695624467776e-05
10,12513984.41332011,30.963178424149095,14.24314043543075,1.3932945760982577e-05
11,13816336.822174482,30.986985933869278,11.81128328366072,1.0569572124987932e-05
12,15114236.295601727,31.013438273559622,9.982663884965387,8.22636726867043e-06
13,16405200.324432468,31.04205727185498,8.574181814343072,6.5436555984494185e-06
14,17687378.53728155,31.072441885973866,7.466651039287569,5.3033185188897515e-06
15,18958682.734249774,31.10434013193107,6.580633262910545,4.368727326826012e-06
16,20218102.489829216,31.13745704222018,5.860554616503967,3.6501701696533096e-06
17,21464489.284229167,31.17158861203704,5.267413394829562,3.088056899436205e-06
18,22696882.321669556,31.20656611784634,4.77300166413078,2.6416910702038436e-06
19,23914530.407092076,31.242241962257893,4.356495967304612,2.2822192350271766e-06
20,25116809.972520694,31.278491502952736,4.002285056914847,1.989309891628257e-06
21,26303204.719030287,31.31520928024696,3.698486553316221,1.7478110730924094e-06
22,27473312.65700032,31.35230209908468,3.435918157976018,1.5467500936543561e-06
23,28627149.85184703,31.38964517459131,3.20729509361655,1.3778758007834918e-06
24,29763521.74730365,31.427291843133958,3.007244587772065,1.234859229528109e-06
25,30883011.179976642,31.46507946602704,2.830976944052371,1.1127849593221498e-06
26,31985269.174156208,31.502981937093907,2.674898930929938,1.0078258728354474e-06
27,33070225.64922004,31.540948451249946,2.536023962249235,9.170062914188499e-07
28,34137803.78258752,31.578939911351593,2.41191280109331,8.380295587100529e-07
29,35187976.34003936,31.616919754493964,2.300544116119319,7.688911184703736e-07
30,36220750.40111713,31.65485513336332,2.200234395036722,7.080156824936827e-07
31,37236137.368228115,31.692719989149293,2.109575241284121,6.542743022003864e-07
32,38234199.0663981,31.730487250037196,2.02737480927953,6.064924541950548e-07
33,39215024.9385095,31.76813144525796,1.95262064286381,5.63944825733145e-07
34,40178673.830780074,31.805637177622344,1.884456129403527,5.258309901128365e-07
35,41125266.06323043,31.842983411334412,1.822140919390906,4.915576719968435e-07
36,42054923.917211995,31.880153404922478,1.765038218661847,4.6069116284476725e-07
37,42967764.95156516,31.9171345295966,1.71260010167951,4.3277035257597185e-07
38,43863942.22272278,31.953912034962016,1.66434696287256,4.074011986270689e-07
39,44743598.51581478,31.990475281603107,1.619862795847817,3.843654682835053e-07
40,45607126.26894314,32.026773392040326,1.578751847758078,3.63301448472046e-07
41,46454164.63551683,32.06288616228168,1.54076162191347,3.440059393440054e-07
42,47285168.534104384,32.09875793851148,1.505572034168858,3.2636530869208797e-07
43,48100373.648587406,32.13437005022267,1.472925024517372,3.1011244902757013e-07
44,48899885.156428896,32.16972897441449,1.442607788306719,2.9510151500881267e-07
45,49683934.09323226,32.20482042537492,1.414417296288509,2.812458944974379e-07
46,50452680.80256591,32.23964321165343,1.388179914922602,2.684691566624113e-07
47,51206327.72181371,32.27419012626785,1.363736445765116,2.565510295772084e-07
48,51945050.84342277,32.308459820052825,1.340946688861834,2.455191993971563e-07
49,52669041.360082954,32.34244844854092,1.319683373495253,2.3525619550761252e-07
50,53378492.239160955,32.37615423554707,1.299832247217785,2.2565595319825347e-07
