order,P,T,L,ST
0,808804.2773133343,31.28417189396538,3524.402678342055,0.023452613728029308
1,1603145.9993406322,31.11802771835974,859.4306910718788,0.003946903221376072
2,2583754.5239395928,31.020040138620352,324.5660978302594,0.0010930168438121148
3,3680929.9811596577,30.962288653286087,158.5573421170161,0.0004156130618671454
4,4854215.379775986,30.92964533200023,90.9588104663561,0.00019391325207001459
5,6077546.066786896,30.913925555156343,58.12493641896108,0.0001040738613700971
6,7335204.629695206,30.909993303986813,40.08048657847252,6.172922857646677e-05
7,8615202.995534392,30.914763931459344,29.24433522675319,3.945850372640491e-05
8,9909153.616646118,30.926114392650092,22.28284810493422,2.6722292736124213e-05
9,11210277.875993514,30.942624961466333,17.57077057376633,1.8947270228129543e-05
10,12513984.443352656,30.96317845403504,14.24314043543075,1.3942352546416025e-05
11,13816336.78757892,30.98698593582959,11.81128328366072,1.0578831567255269e-05
12,15114235.93764335,31.013438284996784,9.982663884965387,8.235615075169238e-06
13,16405200.26702185,31.042057388048878,8.574181814343072,6.552744289517977e-06
14,17687378.30244722,31.072441915920237,7.466651039287569,5.31226130537736e-06
15,18958682.7983401,31.104340115892988,6.580633262910545,4.3774002764170786e-06
16,20218102.503891345,31.13745705897661,5.860554616503967,3.6586861357690903e-06
17,21464489.531106267,31.171588596972967,5.267413394829562,3.0964391948482342e-06
18,22696882.578350164,31.206566109285017,4.77300166413078,2.6499597914702883e-06
19,23914529.829504766,31.242242045667915,4.356495967304612,2.2903904973636434e-06
20,25116810.10210445,31.27849158040579,4.002285056914847,1.9972104478390984e-06
21,26303204.776002534,31.315209276217054,3.698486553316221,1.755608616560406e-06
22,27473312.437727407,31.352302041800467,3.435918157976018,1.5545138179950826e-06
23,28627149.555316526,31.389645189561712,3.20729509361655,1.385435920655087e-06
24,29763521.629472468,31.427291776795276,3.007244587772065,1.2422971872094907e-06
25,30883011.95800192,31.46507937683493,2.830976944052371,1.1201624600179648e-06
26,31985268.10219808,31.50298205443107,2.674898930929938,1.0151256528107157e-06
27,33070225.424904298,31.54094844324492,2.536023962249235,9.242169595538694e-07
28,34137803.360553876,31.578939920405624,2.41191280109331,8.451444909613792e-07
29,35187976.33018987,31.6169196875316,2.300544116119319,7.759067325879647e-07
30,36220749.73514333,31.65485526619917,2.200234395036722,7.149776264448184e-07
31,37236137.758527376,31.69272000637065,2.109575241284121,6.61176479353376e-07
32,38234200.12753622,31.73048715192863,2.02737480927953,6.133715386101308e-07
33,39215023.78878525,31.7681317149944,1.95262064286381,5.707557535801638e-07
34,40178673.404424556,31.805637168268184,1.884456129403527,5.325733229594715e-07
35,41125264.50628115,31.842983494377812,1.822140919390906,4.982986529705951e-07
36,42054923.73055658,31.88015340108486,1.765038218661847,4.6736146242973447e-07
37,42967764.972235925,31.917134488256718,1.71260010167951,4.3940182296863604e-07
38,43863942.330998324,31.953912104715272,1.66434696287256,4.139930863658833e-07
39,44743597.64407026,31.99047542940339,1.619862795847817,3.908910161725378e-07
40,45607124.838218674,32.0267736072231,1.578751847758078,3.6981441561552246e-07
41,46454165.08852296,32.0628861902919,1.54076162191347,3.50504853184707e-07
42,47285168.2964687,32.0987579588203,1.505572034168858,3.328027683072718e-07
43,48100373.897666045,32.13437011620749,1.472925024517372,3.1649190512185154e-07
44,48899885.486422874,32.169728930929445,1.442607788306719,3.015112285827958e-07
45,49683933.907623336,32.20482033526066,1.414417296288509,2.8764154997775327e-07
46,50452680.16417515,32.23964323555259,1.388179914922602,2.748118726284766e-07
47,51206326.71027902,32.274190249386955,1.363736445765116,2.6288190104738635e-07
48,51945052.15049937,32.30845958025803,1.340946688861834,2.518387764230594e-07
49,52669043.24469222,32.34244849134755,1.319683373495253,2.4156521147772135e-07
50,53378492.91577176,32.37615409470212,1.299832247217785,2.3195521888861441e-07
51,54073595.882018745,32.40957342970487,1.281289045630856,2.2298288324659602e-07
52,54754551.25800727,32.4427033330176,1.263959633559194,2.1459286310884103e-07
53,55421536.774012044,32.47554511052614,1.24776029516081,2.0673338431453594e-07
54,56074783.140698284,32.50808894178965,1.232609575443192,1.9933267254119998e-07
55,56714444.42765182,32.54034333203809,1.218441607293981,1.924361613892298e-07
56,57340718.789219365,32.57230639476954,1.205191380895196,1.8589313675833788e-07
57,57953845.30263952,32.6039651666272,1.192794670341048,1.7975629284673502e-07
58,58553953.093551934,32.63533498285651,1.181204532550781,1.7396762609363182e-07
59,59141274.90461407,32.666405290621974,1.170367050621651,1.6847431366719147e-07
60,59715964.97706118,32.697184792027116,1.160240367739379,1.6330519282303605e-07
61,60278251.848628685,32.727663831260664,1.150778828831781,1.584124670320471e-07
62,60828304.17122238,32.75784703475227,1.141945619845531,1.537485470190976e-07
63,61366307.497733384,32.78773479612571,1.13370525773296,1.4937110705908273e-07
64,61892447.1069818,32.81732734076308,1.126024624081068,1.4516700269610846e-07
65,62406897.32303839,32.8466280417358,1.118874434229357,1.4119162353352397e-07
66,62909853.261639915,32.8756330682539,1.112224734230128,1.374074775042661e-07
67,63401482.201564565,32.90434736922936,1.106050969898569,1.3380201099806266e-07
68,63882106.792302646,32.93272247039218,1.100312026695356,1.303608092796862e-07
69,64351578.13111836,32.96086896613222,1.095022352052447,1.2707882754298717e-07
70,64810296.19322468,32.9887123027847,1.090135352585242,1.2394219439056017e-07
71,65258385.9282792,33.01626893183312,1.085636567741059,1.2096281310153927e-07
72,65696002.59897624,33.0435478765103,1.081510060005912,1.1809129062883011e-07
73,66123359.19642204,33.070530371584276,1.077732292000505,1.1534036435798811e-07
74,66540582.30018338,33.097235967404856,1.074293050472056,1.1272185788736837e-07
75,66947863.76617821,33.12365268960554,1.07117323734468,1.1020939430194439e-07
76,67345342.1711724,33.1497935936478,1.068362432483512,1.0779684215879028e-07
77,67733184.2051109,33.175655322054595,1.065845931894782,1.0547821013420039e-07
78,68111552.27414097,33.20123963626535,1.063611442984833,1.032485295286132e-07
79,68480611.07237622,33.22654278457675,1.061645831979081,1.011024341314978e-07
80,68840495.42515264,33.25157497425542,1.059940715813457,9.903509944190489e-08
81,69191363.2171627,33.276336270097275,1.058485328547148,9.704298677631544e-08
82,69533364.2398278,33.30082726986332,1.057269759779247,9.513865842824458e-08
83,69866643.85162945,33.325050632111285,1.056284989051909,9.330098717978317e-08
84,70191346.21758808,33.34901060217099,1.0555233022922,9.152649634159822e-08
85,70507641.07395588,33.37269347536037,1.054972137531747,8.981113007477237e-08
86,70815622.79741172,33.39612881533088,1.054631559425241,8.815315327847127e-08
87,71115478.36020736,33.419289669558395,1.054486403836791,8.654840316638853e-08
88,71407305.98905955,33.442200760722855,1.054536104306457,8.501110673746466e-08
89,71691260.73101576,33.464855730633126,1.054771887392645,8.352196218271245e-08
90,71967471.81816788,33.487257637436606,1.055187814950364,8.206287646095219e-08
91,72236081.86812814,33.509398773481884,1.05577579769038,8.066305304110907e-08
92,72497200.56918536,33.53129877075821,1.056534651031327,7.932059267866675e-08
93,72750972.85083996,33.55294569434839,1.057455649169922,7.800184968796251e-08
94,72997520.29270694,33.574344367213925,1.058534615328921,7.672049718905576e-08
95,73236964.38259399,33.59550024291621,1.059767622621479,7.54751779007474e-08
96,73469429.37387897,33.61641156563313,1.061149232179905,7.427898466999341e-08
97,73695034.94747432,33.63708430569827,1.062676228522515,7.311524206288381e-08
98,73913901.88274175,33.65751656790762,1.064343521896538,7.198223848639735e-08
99,74126142.20217767,33.677713027098434,1.066147915667193,7.087884359883305e-08
100,74331876.48633042,33.69767510872545,1.068085564116971,6.981819841001476e-08
101,74531224.46923587,33.71738799176815,1.070148898508073,6.876934328683889e-08
102,74724273.10103664,33.736901327997536,1.07234608189605,6.774690715267243e-08
103,74911157.03591202,33.75617093262229,1.074662594669371,6.676307829534625e-08
104,75091977.42676437,33.77520858065495,1.077097963442738,6.580242489682434e-08
105,75266827.95950986,33.79405583437997,1.079658454388738,6.486472443027258e-08
106,75435843.2624609,33.81262210928096,1.082319621433894,6.39614361546793e-08
107,75599102.47691722,33.8309961263079,1.085099019265194,6.30788416974322e-08
108,75756709.60580982,33.849150899830654,1.087987369050714,6.220171019762673e-08
109,75908773.8054917,33.86708272498506,1.090980855566127,6.13433838026843e-08
110,76055385.31536362,33.88480904646586,1.094080763343798,6.05306537515743e-08
111,76196645.44437416,33.90231739549725,1.097281524604498,5.970751109062901e-08
112,76332652.0895612,33.91966438730714,1.100593283359459,5.892876753391548e-08
113,76463496.18572684,33.93675863490781,1.103992804327247,5.815128490804054e-08
114,76589269.80686966,33.95364592899949,1.10748805170997,5.7388847111436633e-08
115,76710066.8586702,33.970327401724795,1.111076952088424,5.6654413019093e-08
116,76825972.89350666,33.986805335919954,1.114757783795036,5.593376661033082e-08
117,76937078.66692643,34.00308187475583,1.118528851177203,5.522617207411959e-08
118,77043472.13295132,34.01915946657132,1.12238848120269,5.4531261539204704e-08
119,77145237.81973614,34.03503978447417,1.126335012954774,5.384847812141342e-08
120,77242458.90372093,34.050724423827084,1.130366810994787,5.3177311330241474e-08
121,77335219.83532287,34.06621454655067,1.134482261904173,5.251742941073198e-08
122,77423598.6503417,34.081511963755574,1.138679812226455,5.1881278455499514e-08
123,77507680.71728438,34.09661994605432,1.142958418572342,5.125547682773163e-08
124,77587542.93953623,34.11153999100698,1.147316548044331,5.0626278121110765e-08
125,77663257.8555436,34.12627081054595,1.15175255326556,5.003275070022525e-08
126,77734908.81441046,34.140819338824194,1.156265840446348,4.9435135318976216e-08
127,77802568.35510807,34.155184034120815,1.16085470195716,4.88462061170122e-08
128,77866312.11688723,34.169367741752396,1.165518077744819,4.826565422083031e-08
129,77926210.506309,34.18337212256139,1.170254892937403,4.7693110723653894e-08
130,77982334.04879168,34.19719619616901,1.175063366958726,4.7141090679993584e-08
131,78034755.68779318,34.2108449268629,1.179943194542771,4.659641565604859e-08
132,78083543.61260664,34.22431894397601,1.1848930513172,4.605883746772195e-08
133,78128764.35295394,34.23761953125351,1.18991193956029,4.5527779855932353e-08
134,78170491.03746164,34.25074891187096,1.19499876561376,4.5003471489585167e-08
135,78208786.750451,34.263711618624114,1.200153415668551,4.4485372233740856e-08
136,78243711.1820783,34.276504785310394,1.205373977044574,4.397310083010896e-08
137,78275340.98817034,34.28913633894051,1.210660840488157,4.3466726874659615e-08
138,78303717.70339398,34.30159335588312,1.216010088835239,4.2978362274658896e-08
139,78328921.11038202,34.313892789757965,1.221424016376309,4.248269918223982e-08
140,78351007.87818171,34.32602913837104,1.226900439350318,4.2004689677696e-08
141,78370034.68765016,34.33800778580067,1.232439340053603,4.1518916084699095e-08
142,78386060.33100125,34.34982492590836,1.238038674451478,4.1062914285522995e-08
143,78399146.804407,34.361486965685174,1.243698956668822,4.058624138783475e-08
144,78409350.848231,34.37299499804019,1.249419134545858,4.012636410877055e-08
145,78416722.91420366,34.3843477057666,1.255197915801348,3.967055972355193e-08
146,78421323.24064015,34.395549231979075,1.261035370610611,3.9231187411025655e-08
147,78423201.41707706,34.40659942021259,1.266930241252596,3.878298598572695e-08
148,78422416.87435804,34.41750154867495,1.272882219802139,3.8338346026160685e-08
