order,P,T,L,ST,m,dgr,M_v=8e+6
0,808804.2335,31.28417184,3524.402678,0.023452614,5.15,-3000,
1,1603145.981,31.11802773,859.4306911,0.003946928,5.184422111,-1200.941391,
2,2583754.606,31.02004014,324.5660978,0.00109306,5.218844221,-503.1751464,
3,3680929.915,30.96228871,158.5573421,0.000415663,5.253266332,-280.5975503,
4,4854215.331,30.92964532,90.95881047,0.000193974,5.287688442,-178.6338588,
5,6077545.971,30.91392554,58.12493642,0.00010414,5.322110553,-126.4543149,
6,7335204.408,30.9099933,40.08048658,6.18E-05,5.356532663,-97.17486021,
7,8615202.449,30.91476394,29.24433523,3.95E-05,5.390954774,-78.49398851,
8,9909153.402,30.92611443,22.2828481,2.68E-05,5.425376884,-65.77069528,
9,11210277.96,30.94262495,17.57077057,1.90E-05,5.459798995,-56.65018682,
10,12513984.49,30.96317844,14.24314044,1.40E-05,5.494221106,-49.77998553,
11,13816336.78,30.98698597,11.81128328,1.06E-05,5.528643216,-44.4158745,
12,15114235.32,31.01343823,9.982663885,8.30E-06,5.563065327,-40.14570838,
13,16405200.39,31.04205725,8.574181814,6.62E-06,5.597487437,-36.70932963,
14,17687378.14,31.07244187,7.466651039,5.38E-06,5.631909548,-33.91459854,
15,18958683.21,31.1043401,6.580633263,4.44E-06,5.666331658,-31.6039148,
16,20218103.01,31.13745698,5.860554617,3.72E-06,5.700753769,-29.65493172,
17,21464490.16,31.17158861,5.267413395,3.16E-06,5.735175879,-27.9782359,
18,22696882.5,31.20656611,4.773001664,2.71E-06,5.76959799,-26.51246909,
19,23914529.78,31.242242,4.356495967,2.35E-06,5.804020101,-25.21549768,
20,25116809.48,31.27849152,4.002285057,2.05E-06,5.838442211,-24.05720363,
21,26303204.63,31.31520931,3.698486553,1.81E-06,5.872864322,-23.01526022,
22,27473313.01,31.35230201,3.435918158,1.61E-06,5.907286432,-22.07249911,
23,28627150.72,31.38964512,3.207295094,1.44E-06,5.941708543,-21.21515472,
24,29763523.15,31.42729178,3.007244588,1.30E-06,5.976130653,-20.43277661,
25,30883011.2,31.46507924,2.830976944,1.17E-06,6.010552764,-19.71580581,
26,31985268.75,31.50298199,2.674898931,1.07E-06,6.044974874,-19.05648743,
27,33070224.91,31.54094839,2.536023962,9.76E-07,6.079396985,-18.44807578,
28,34137803.17,31.57893986,2.411912801,8.97E-07,6.113819095,-17.88477541,
29,35187975.48,31.61691969,2.300544116,8.27E-07,6.148241206,-17.36158097,
30,36220750.15,31.65485518,2.200234395,7.66E-07,6.182663317,-16.87418986,
31,37236136.96,31.69272002,2.109575241,7.11E-07,6.217085427,-16.41886823,
32,38234200.37,31.73048707,2.027374809,6.63E-07,6.251507538,-15.99235047,
33,39215024.33,31.76813169,1.952620643,6.20E-07,6.285929648,-15.59182878,
34,40178673.09,31.80563716,1.884456129,5.81E-07,6.320351759,-15.21481248,
35,41125264.42,31.84298346,1.822140919,5.47E-07,6.354773869,-14.85913208,
36,42054923.06,31.88015319,1.765038219,5.16E-07,6.38919598,-14.52287579,
37,42967765.79,31.91713421,1.712600102,4.87E-07,6.42361809,-14.20438144,
38,43863942.62,31.95391207,1.664346963,4.62E-07,6.458040201,-13.90210985,
39,44743596.88,31.99047533,1.619862796,4.38E-07,6.492462312,-13.61475901,
40,45607126.82,32.02677343,1.578751848,4.17E-07,6.526884422,-13.34110504,
41,46454165.4,32.06288618,1.540761622,3.97E-07,6.561306533,-13.08016851,
42,47285168.26,32.09875801,1.505572034,3.79E-07,6.595728643,-12.83096087,
43,48100371.98,32.13437014,1.472925025,3.63E-07,6.630150754,-12.59258966,
44,48899884.69,32.16972883,1.442607788,3.48E-07,6.664572864,-12.36434399,
45,49683933.57,32.2048203,1.414417296,3.34E-07,6.698994975,-12.14548454,
46,50452680.97,32.23964305,1.388179915,3.21E-07,6.733417085,-11.9353953,
47,51206327.88,32.2741902,1.363736446,3.09E-07,6.767839196,-11.73350413,
48,51945050.25,32.30845988,1.340946689,2.98E-07,6.802261307,-11.5392703,
49,52669043.66,32.34244841,1.319683373,2.87E-07,6.836683417,-11.35224546,
50,53378491.02,32.376154,1.299832247,2.77E-07,6.871105528,-11.17197933,
51,54073594.42,32.40957319,1.281289046,2.68E-07,6.905527638,-10.99807536,
52,54754550.56,32.44270327,1.263959634,2.60E-07,6.939949749,-10.83016484,
53,55421535.36,32.47554515,1.247760295,2.52E-07,6.974371859,-10.66792141,
54,56074783.63,32.50808896,1.232609575,2.45E-07,7.00879397,-10.51101753,
55,56714446.62,32.5403432,1.218441607,2.38E-07,7.04321608,-10.35918128,
56,57340717.45,32.57230641,1.205191381,2.31E-07,7.077638191,-10.21214296,
57,57953843.26,32.60396499,1.19279467,2.25E-07,7.112060302,-10.06966068,
58,58553951.8,32.63533501,1.181204533,2.19E-07,7.146482412,-9.931500931,
59,59141273.03,32.66640527,1.170367051,2.14E-07,7.180904523,-9.797450368,
60,59715965.15,32.69718481,1.160240368,2.08E-07,7.215326633,-9.667321685,
61,60278251.96,32.7276638,1.150778829,2.04E-07,7.249748744,-9.540917701,
62,60828301.73,32.75784681,1.14194562,1.99E-07,7.284170854,-9.418071687,
63,61366306.84,32.78773469,1.133705258,1.95E-07,7.318592965,-9.298633009,
64,61892447.48,32.81732707,1.126024624,1.90E-07,7.353015075,-9.182444928,
65,62406895.92,32.84662763,1.118874434,1.87E-07,7.387437186,-9.069367814,
66,62909852.1,32.87563297,1.112224734,1.83E-07,7.421859296,-8.959264608,
67,63401480.36,32.90434749,1.10605097,1.79E-07,7.456281407,-8.852014574,
68,63882103.23,32.93272236,1.100312027,1.76E-07,7.490703518,-8.747493022,
69,64351579.85,32.96086874,1.095022352,1.73E-07,7.525125628,-8.645612348,
70,64810294.99,32.9887121,1.090135353,1.70E-07,7.559547739,-8.546251085,
71,65258385.72,33.01626894,1.085636568,1.67E-07,7.593969849,-8.449313873,
72,65695999.13,33.04354791,1.08151006,1.64E-07,7.62839196,-8.354705698,
73,66123358.41,33.07053046,1.077732292,1.61E-07,7.66281407,-8.262336964,
74,66540581.09,33.09723578,1.07429305,1.59E-07,7.697236181,-8.172137164,
75,66947865.51,33.12365269,1.071173237,1.56E-07,7.731658291,-8.084013765,
76,67345340.51,33.14979343,1.068362432,1.54E-07,7.766080402,-7.997901403,
77,67733183.31,33.17565509,1.065845932,1.52E-07,7.800502513,-7.913720283,
78,68111551.34,33.20123971,1.063611443,1.50E-07,7.834924623,-7.831414322,
79,68480610.43,33.2265425,1.061645832,1.48E-07,7.869346734,-7.750909605,
80,68840495.85,33.25157468,1.059940716,1.46E-07,7.903768844,-7.672150882,
81,69191362.55,33.2763363,1.058485329,1.44E-07,7.938190955,-7.595075556,
82,69533362.56,33.30082745,1.05726976,1.42E-07,7.972613065,-7.519612066,
83,69866643.5,33.3250505,1.056284989,1.41E-07,8.007035176,-7.445761905,
84,70191346.49,33.3490107,1.055523302,1.39E-07,8.041457286,-7.373421464,
85,70507638.71,33.3726933,1.054972138,1.37E-07,8.075879397,-7.302554237,
86,70815622.09,33.39612903,1.054631559,1.36E-07,8.110301508,-7.233122294,
87,71115478.42,33.4192893,1.054486404,1.34E-07,8.144723618,-7.165075568,
88,71407306.26,33.44220055,1.054536104,1.33E-07,8.179145729,-7.09837659,
89,71691260.17,33.46485562,1.054771887,1.32E-07,8.213567839,-7.032977718,
90,72016988.49,33.12244172,1.055187815,1.31E-07,8.24798995,-6.968848471,
91,72236080.45,33.50939871,1.055775798,1.29E-07,8.28241206,-6.905942588,
