order,P,T,L,ST,m,dgr,M_v=8e+6,,,,t
0,808804.232,31.28417183,3524.402678,0.023452614,5.15,-3000,,delta1,delta2,dt,0
1,1603145.982,31.11802778,859.4306911,0.003946928,5.184422111,-1201.017939,,-0.0266249,1.47760803,5.59321E-05,5.59321E-05
2,2583754.506,31.02004009,324.5660978,0.00109306,5.218844221,-503.0203665,,-0.015769388,0.991206143,0.000204414,0.000260346
3,3680929.901,30.96228867,158.5573421,0.000415663,5.253266332,-280.430675,,-0.00931741,0.722713993,0.000499417,0.000759763
4,4854215.367,30.92964528,90.95881047,0.000193974,5.287688442,-178.4609999,,-0.005274256,0.56045148,0.000961837,0.0017216
5,6077545.993,30.91392552,58.12493642,0.00010414,5.322110553,-126.2787874,,-0.002541858,0.453301019,0.001596997,0.003318597
6,7335204.385,30.90999331,40.08048658,6.18E-05,5.356532663,-97.1811447,,-0.000636035,0.378390359,0.002404404,0.005723001
7,8615202.588,30.91476392,29.24433523,3.95E-05,5.390954774,-78.3182791,,0.000771634,0.323075046,0.003375701,0.009098702
8,9909153.61,30.92611441,22.2828481,2.68E-05,5.425376884,-65.59532449,,0.001835435,0.280775304,0.004500793,0.013599494
9,11210277.77,30.94262498,17.57077057,1.90E-05,5.459798995,-56.47531769,,0.002668645,0.247370569,0.005765112,0.019364606
10,12513984.52,30.96317843,14.24314044,1.40E-05,5.494221106,-49.78316442,,0.003320117,0.220475656,0.00715685,0.026521456
11,13816336.78,30.98698585,11.81128328,1.06E-05,5.528643216,-44.24252217,,0.003842996,0.198333511,0.008660174,0.03518163
12,15114235.31,31.01343824,9.982663885,8.30E-06,5.563065327,-39.97314786,,0.004266486,0.179812001,0.010260408,0.045442038
13,16405200.51,31.0420573,8.574181814,6.62E-06,5.597487437,-36.53778729,,0.00461185,0.164106297,0.011943078,0.057385116
14,17687378.34,31.07244189,7.466651039,5.38E-06,5.631909548,-33.74374441,,0.004891709,0.150647909,0.013695582,0.071080699
15,18958682.7,31.10434011,6.580633263,4.44E-06,5.666331658,-31.43398007,,0.005130248,0.138932937,0.015499011,0.08657971
