order,P,T,L,ST,m,dgr,M_v=8e+6,,,,t
0,808804.2792,31.28417187,3524.402678,0.022942102,5.15,-500000,,delta1,delta2,dt,0
1,1603145.952,31.11802772,859.4306911,0.003813157,5.184422111,-200152.2531,,-0.026624916,1.477607838,5.73E-05,5.73E-05
2,2583754.61,31.02004011,324.5660978,0.001058105,5.218844221,-83857.38196,,-0.015769375,0.991206275,0.000211495,0.000268774
3,3680929.893,30.96228867,158.5573421,0.00040258,5.253266332,-46761.02026,,-0.009317413,0.722713903,0.000515841,0.000784615
4,4854215.434,30.92964534,90.95881047,0.000187938,5.287688442,-29766.516,,-0.005274247,0.560451513,0.000992979,0.001777594
5,6077546.192,30.91392553,58.12493642,0.000100873,5.322110553,-21069.88979,,-0.002541867,0.453301059,0.001648442,0.003426036
6,7335204.271,30.90999331,40.08048658,5.98E-05,5.356532663,-16189.96271,,-0.000636035,0.37839026,0.002483185,0.005909221
7,8615202.288,30.91476388,29.24433523,3.82E-05,5.390954774,-13076.50087,,0.000771627,0.323075007,0.003490105,0.009399325
8,9909153.588,30.92611445,22.2828481,2.59E-05,5.425376884,-10955.94212,,0.001835448,0.28077537,0.004659339,0.014058665
9,11210277.33,30.94262494,17.57077057,1.83E-05,5.459798995,-9435.885142,,0.002668633,0.247370494,0.005976623,0.020035288
10,12513984.51,30.96317837,14.24314044,1.35E-05,5.494221106,-8290.85762,,0.003320114,0.220475734,0.007430272,0.02746556
11,13816336.52,30.98698594,11.81128328,1.02E-05,5.528643216,-7396.861927,,0.00384302,0.198333476,0.009004006,0.036469566
12,15114236.06,31.0134383,9.982663885,7.97E-06,5.563065327,-6685.212063,,0.00426648,0.179812137,0.010682788,0.047152354
13,16405199.88,31.04205728,8.574181814,6.34E-06,5.597487437,-6112.532751,,0.004611837,0.164106121,0.012452002,0.059604356
14,17687378.81,31.07244188,7.466651039,5.15E-06,5.631909548,-5646.737695,,0.00489171,0.15064804,0.014299227,0.073903583
15,18958682.89,31.10434012,6.580633263,4.24E-06,5.666331658,-5261.659649,,0.005130252,0.138932902,0.0162051,0.090108683
16,20218103.46,31.13745704,5.860554617,3.55E-06,5.700753769,-4936.863502,,0.005320689,0.128721476,0.018163352,0.108272034
17,21464489.38,31.17158865,5.267413395,3.01E-06,5.735175879,-4657.43124,,0.005477796,0.119714371,0.020158004,0.128430038
18,22696882.81,31.20656612,4.773001664,2.58E-06,5.76959799,-4413.175208,,0.005607328,0.111713371,0.022176644,0.150606682
19,23914529.72,31.24224199,4.356495967,2.23E-06,5.804020101,-4197.039878,,0.005712821,0.104564816,0.024208297,0.17481498
20,25116810.08,31.2784915,4.002285057,1.95E-06,5.838442211,-4004.025053,,0.005798,0.098141612,0.026242474,0.201057453
21,26303205.37,31.31520929,3.698486553,1.72E-06,5.872864322,-3830.397312,,0.005866054,0.0923397,0.028269335,0.229326788
22,27473312.18,31.35230208,3.435918158,1.53E-06,5.907286432,-3673.298754,,0.005918985,0.087076003,0.030280381,0.25960717
23,28627149.54,31.3896452,3.207295094,1.36E-06,5.941708543,-3530.438912,,0.00595186,0.082304182,0.032274581,0.291881751
24,29763521.86,31.42729181,3.007244588,1.23E-06,5.976130653,-3400.071385,,0.00599307,0.077875651,0.034219972,0.326101723
25,30883011.92,31.46507932,2.830976944,1.11E-06,6.010552764,-3280.606155,,0.006008284,0.073862203,0.036141944,0.362243666
26,31985267.9,31.50298212,2.674898931,1.01E-06,6.044974874,-3170.746152,,0.006019371,0.070152701,0.038017156,0.400260822
27,33070224.58,31.54094831,2.536023962,9.21E-07,6.079396985,-3069.379901,,0.006022183,0.066728173,0.039844944,0.440105766
28,34137803.29,31.57893965,2.411912801,8.45E-07,6.113819095,-2975.52519,,0.006018918,0.063554797,0.041619891,0.481725657
29,35187976.18,31.61691968,2.300544116,7.79E-07,6.148241206,-2888.352007,,0.006009895,0.060607407,0.043338392,0.525064049
30,36220750.35,31.65485504,2.200234395,7.20E-07,6.182663317,-2807.146952,,0.005995623,0.05786353,0.044997226,0.570061276
31,37236138.01,31.69271994,2.109575241,6.69E-07,6.217085427,-2731.28873,,0.005977326,0.05530219,0.046593174,0.61665445
