order,P,T,L,ST,m,dgr,M_v=8e+6;g_in=44.388807120323044,,,,t
0,420380.9231,35.59559271,43825.33293,0.200017072,6.2,-1000000,,delta1,delta2,dt,0
1,870197.0926,35.40089001,8833.04511,0.03712479,6.244221106,-676417.6402,,-0.027424479,1.586933391,6.94579E-06,6.94579E-06
2,1561235.011,35.26165805,2628.661281,0.008436519,6.288442211,-305190.7726,,-0.019703861,1.236739168,2.8213E-05,3.51588E-05
3,2433328.998,35.17169612,1062.501493,0.002644697,6.332663317,-136969.2401,,-0.012772652,0.916987811,8.61839E-05,0.000121343
4,3429234.433,35.11600783,530.7876996,0.001058053,6.376884422,-77173.54057,,-0.007922912,0.699693195,0.000197324,0.000318666
5,4509340.727,35.08362282,306.3429248,0.000504568,6.421105528,-49459.31912,,-0.004613275,0.554496526,0.000371671,0.000690337
6,5647153.508,35.06752516,195.6683156,0.000273251,6.465326633,-34580.53826,,-0.00229471,0.453807834,0.000613103,0.00130344
7,6824453.517,35.06320659,134.5596815,0.000162533,6.509547739,-26256.64102,,-0.000615789,0.380988697,0.000921891,0.002225331
8,8028250.753,35.06767058,97.83531331,0.000103891,6.553768844,-20999.8202,,0.000636522,0.326339818,0.001296238,0.003521568
9,9248990.276,35.07884918,74.27566335,7.03E-05,6.59798995,-17420.90424,,0.001593608,0.284041728,0.00173224,0.005253808
10,10479447.41,35.09526652,58.36118012,4.97E-05,6.642211055,-14870.86031,,0.002339515,0.250453138,0.002224993,0.007478801
11,11714050.04,35.11583636,47.15382032,3.65E-05,6.686432161,-12970.43542,,0.002929714,0.223206835,0.002769006,0.010247808
12,12948435.15,35.13973795,38.98646843,2.77E-05,6.730653266,-11496.65439,,0.003402092,0.200707291,0.003358343,0.013606151
13,14179103.39,35.16634279,32.86220618,2.15E-05,6.774874372,-10324.11008,,0.003784145,0.181838285,0.003986799,0.01759295
14,15403283.1,35.19515002,28.15758029,1.71E-05,6.819095477,-9377.856164,,0.004094177,0.165812138,0.004648487,0.022241436
15,16618684.51,35.22576731,24.46818498,1.38E-05,6.863316583,-8607.373827,,0.004347756,0.152039982,0.005337549,0.027578985
16,17823474,35.25787179,21.52282855,1.14E-05,6.907537688,-7973.258074,,0.004554885,0.140091741,0.006048646,0.033627631
17,19016138.31,35.29120037,19.13463076,9.53E-06,6.951758794,-7443.226384,,0.00472417,0.1296339,0.006776495,0.040404126
18,20195436.61,35.32553594,17.17160183,8.07E-06,6.995979899,-6992.349292,,0.004862244,0.120409953,0.00751606,0.047920186
19,21360359,35.36069517,15.53846125,6.91E-06,7.040201005,-6602.125604,,0.004973987,0.112219104,0.00826258,0.056182766
20,22510076.23,35.39652411,14.16511812,5.98E-06,7.084422111,-6259.571656,,0.005063647,0.104900479,0.009011552,0.065194318
21,23643907.27,35.43289306,12.99912921,5.22E-06,7.128643216,-5955.576788,,0.005134725,0.098324404,0.009758815,0.074953133
22,24761306.66,35.46969068,12.00062516,4.60E-06,7.172864322,-5683.497232,,0.005189886,0.092386341,0.010500641,0.085453774
23,25861847.48,35.50681881,11.13886735,4.08E-06,7.217085427,-5438.305747,,0.005231046,0.087000601,0.011233687,0.096687461
24,26945154.25,35.5441998,10.38991143,3.64E-06,7.261306533,-5216.114136,,0.00526115,0.082092361,0.011954617,0.108642078
25,28011021.82,35.58175179,9.734757773,3.27E-06,7.305527638,-5013.810055,,0.005279648,0.07760865,0.012661377,0.121303456
26,29059180.49,35.6194241,9.158377602,2.96E-06,7.349748744,-4828.875757,,0.005290969,0.073489303,0.013350573,0.134654029
27,30089560.87,35.65714982,8.648529652,2.69E-06,7.393969849,-4659.216297,,0.005292865,0.069701781,0.014021174,0.148675203
28,31102024.93,35.69489006,8.195370337,2.46E-06,7.438190955,-4503.042867,,0.005289302,0.066201345,0.014670454,0.163345657
29,32096544.62,35.73259872,7.790772876,2.25E-06,7.48241206,-4358.812801,,0.005279294,0.062961301,0.015297291,0.178642948
30,33073116.37,35.7702388,7.428039251,2.08E-06,7.526633166,-4225.190825,,0.00526414,0.059953732,0.015900312,0.19454326
31,34031760.84,35.80777715,7.101601271,1.92E-06,7.570854271,-4101.03034,,0.005244397,0.057154722,0.016478234,0.211021494
32,34972535.97,35.84518517,6.806794031,1.78E-06,7.615075377,-3985.325762,,0.005220723,0.054544431,0.017030291,0.228051785
33,35895518.22,35.88243626,6.539686781,1.66E-06,7.659296482,-3877.209868,,0.005193411,0.052104652,0.017555613,0.245607397
34,36800813.11,35.91950768,6.296948402,1.55E-06,7.703517588,-3775.922765,,0.005163012,0.049820138,0.018053798,0.263661195
35,37688537.22,35.95637896,6.075743085,1.46E-06,7.747738693,-3680.813599,,0.005129855,0.047676625,0.018524299,0.282185494
36,38558823.91,35.99303269,5.873641891,1.37E-06,7.791959799,-3591.28678,,0.005094378,0.045661912,0.018966893,0.301152387
37,39411828.31,36.02945137,5.68855012,1.29E-06,7.836180905,-3506.84078,,0.005056571,0.043765519,0.019381481,0.320533868
38,40247710.93,36.06562127,5.518662229,1.22E-06,7.88040201,-3427.018268,,0.005016975,0.041977379,0.019768045,0.340301913
39,41066640.93,36.10153134,5.36241217,1.16E-06,7.924623116,-3351.428341,,0.004975959,0.040288734,0.020126686,0.360428599
40,41868807.39,36.13716766,5.218427669,1.10E-06,7.968844221,-3279.710576,,0.004933135,0.038692334,0.020457563,0.380886163
41,42654390.89,36.17252256,5.085516172,1.04E-06,8.013065327,-3211.549629,,0.004889373,0.03718039,0.020760923,0.401647086
42,43423590.55,36.20758672,4.96262612,9.95E-07,8.057286432,-3146.666189,,0.004844449,0.035747172,0.021037198,0.422684284
43,44176615.73,36.2423504,4.848827952,9.50E-07,8.101507538,-3084.807629,,0.004798304,0.034387171,0.021286824,0.443971108
44,44913658.22,36.27681081,4.743309758,9.09E-07,8.145728643,-3025.748458,,0.004751905,0.033094205,0.021510174,0.465481282
45,45634934.62,36.31096058,4.645344109,8.71E-07,8.189949749,-2969.283428,,0.00470462,0.031864534,0.021707886,0.487189169
46,46340671.62,36.34478986,4.554276864,8.36E-07,8.234170854,-2915.230869,,0.004656106,0.030694163,0.021880478,0.509069647
47,47031065.53,36.37830045,4.469542495,8.03E-07,8.27839196,-2863.422709,,0.004607971,0.029577758,0.022028589,0.531098235
48,47706334.71,36.4114879,4.390624958,7.73E-07,8.322613065,-2813.708492,,0.004559357,0.028512646,0.022152819,0.553251054
49,48366717.47,36.4443446,4.317056201,7.46E-07,8.366834171,-2765.950465,,0.004509826,0.027496325,0.022254037,0.575505091
50,49012413.05,36.4768717,4.248425547,7.20E-07,8.411055276,-2720.026626,,0.004460582,0.026524121,0.022332553,0.597837644
51,49643643.98,36.50906701,4.18436039,6.96E-07,8.455276382,-2675.818048,,0.004411167,0.025594243,0.022389378,0.620227023
52,50260642.88,36.54092728,4.124519706,6.73E-07,8.499497487,-2633.225764,,0.004361434,0.024704543,0.02242537,0.642652392
53,50863620.07,36.57245166,4.068598667,6.52E-07,8.543718593,-2592.148627,,0.004311713,0.023851788,0.022440818,0.66509321
