order,P,T,L,ST
0,808804.2863700052,31.284171896025875,3524.402678342055,0.023452614776442903
1,1603146.0753502697,31.118027773315475,859.4306910718788,0.003946903221376072
2,2583754.4925785623,31.020040139841175,324.5660978302594,0.0010930168438121148
3,3680929.954828595,30.962288668308783,158.5573421170161,0.00041560988895877193
4,4854215.4031486185,30.92964531432238,90.9588104663561,0.00019391325207001459
5,6077546.103494357,30.91392558183092,58.12493641896108,0.0001040738613700971
6,7335204.2817869065,30.909993344882558,40.08048657847252,6.172922857646677e-05
7,8615202.025830971,30.914763897690392,29.24433522675319,3.945835293553018e-05
8,9909153.414220134,30.926114413903207,22.28284810493422,2.6722292736124213e-05
9,11210277.947119188,30.942624983789315,17.57077057376633,1.8947270228129543e-05
10,12513984.366118588,30.963178451023694,14.24314043543075,1.3942352546416025e-05
11,13816336.570085844,30.986985927965552,11.81128328366072,1.0578831567255269e-05
12,15114235.819461022,31.01343831398419,9.982663884965387,8.235615075169238e-06
13,16405200.55495384,31.042057319377268,8.574181814343072,6.552744289517977e-06
14,17687378.726487704,31.07244186988049,7.466651039287569,5.3121792614646295e-06
15,18958682.49261576,31.10434011332421,6.580633262910545,4.3774002764170786e-06
16,20218102.66650285,31.137457004903588,5.860554616503967,3.6586861357690903e-06
17,21464490.16324745,31.171588572316857,5.267413394829562,3.0964391948482342e-06
18,22696882.676532943,31.20656607813078,4.77300166413078,2.649877104257624e-06
19,23914530.47327423,31.24224197008172,4.356495967304612,2.2903188196238496e-06
20,25116810.201648843,31.278491540555567,4.002285056914847,1.9972104478390984e-06
21,26303205.365694415,31.315209128855173,3.698486553316221,1.755608616560406e-06
22,27473312.316782482,31.352302071764473,3.435918157976018,1.5544155430034278e-06
23,28627151.705346692,31.389645009148925,3.20729509361655,1.385435920655087e-06
24,29763523.05559872,31.427291726149004,3.007244587772065,1.2422971872094907e-06
25,30883011.852068733,31.465079257765726,2.830976944052371,1.120090833797617e-06
26,31985268.5417742,31.502982090075893,2.674898930929938,1.0150604762037936e-06
27,33070225.405902322,31.540948429571575,2.536023962249235,9.242169595538694e-07
28,34137803.23143004,31.57893986722683,2.41191280109331,8.451444909613792e-07
29,35187976.01072483,31.61691952484487,2.300544116119319,7.758562605439532e-07
30,36220749.62478431,31.65485508832872,2.200234395036722,7.149776264448184e-07
31,37236137.331828795,31.692719950490705,2.109575241284121,6.611330694341749e-07
32,38234199.62717259,31.73048714437356,2.02737480927953,6.133715386101308e-07
33,39215025.44728938,31.768131516138467,1.95262064286381,5.706800766040857e-07
34,40178672.60618185,31.805637195939713,1.884456129403527,5.325733229594715e-07
35,41125264.46958366,31.842983474465765,1.822140919390906,4.982319105847163e-07
36,42054924.39878597,31.880153292583724,1.765038218661847,4.6736146242973447e-07
37,42967765.25405852,31.91713460866102,1.71260010167951,4.393423478978498e-07
38,43863943.28879571,31.953911915801932,1.66434696287256,4.139930863658833e-07
39,44743596.84714147,31.990475341813248,1.619862795847817,3.908910161725378e-07
40,45607125.73725814,32.02677353076321,1.578751847758078,3.69763533059714e-07
41,46454164.12906639,32.0628861858847,1.54076162191347,3.5045635382768686e-07
42,47285168.47455845,32.09875796139475,1.505572034168858,3.3275645564816976e-07
43,48100372.99015265,32.134369953970996,1.472925024517372,3.1649190512185154e-07
44,48899884.510274276,32.169729085763265,1.442607788306719,3.01468780148531e-07
45,49683934.69515523,32.2048201259242,1.414417296288509,2.87600813318643e-07
46,50452679.11493161,32.23964297792242,1.388179914922602,2.7477272006078487e-07
47,51206327.064040944,32.27419016429526,1.363736445765116,2.6288190104738635e-07
48,51945051.07958386,32.308459812469664,1.340946688861834,2.518387764230594e-07
49,52669043.68736057,32.342448478436076,1.319683373495253,2.415301613889985e-07
50,53378492.13945078,32.376154305206065,1.299832247217785,2.3192135186877375e-07
51,54073596.36667012,32.40957342137601,1.281289045630856,2.2295012055437643e-07
52,54754550.60837275,32.44270312425502,1.263959633559194,2.1456113268401348e-07
53,55421534.82308164,32.4755452668846,1.24776029516081,2.0670262041806057e-07
54,56074783.70309623,32.508088998741144,1.232609575443192,1.9933267254119998e-07
55,56714444.67731553,32.54034340294697,1.218441607293981,1.9240715382797122e-07
56,57340717.02676118,32.57230651393985,1.205191380895196,1.8589313675833788e-07
57,57953843.19247605,32.60396507183537,1.192794670341048,1.797288365625061e-07
58,58553952.077539325,32.63533505117325,1.181204532550781,1.7394087830364203e-07
59,59141273.95137681,32.666405384379374,1.170367050621651,1.6847431366719147e-07
60,59715964.32915142,32.69718442811626,1.160240367739379,1.6327974398513313e-07
61,60278252.19564407,32.727663768845936,1.150778828831781,1.5838761411911454e-07
62,60828304.73978755,32.757846889772765,1.141945619845531,1.537485470190976e-07
63,61366307.13323207,32.78773475804588,1.13370525773296,1.4932359716497998e-07
64,61892446.88620269,32.81732727328633,1.126024624081068,1.4516700269610846e-07
65,62406897.55090327,32.846628028724346,1.118874434229357,1.4116885436346534e-07
66,62909852.80211199,32.87563301065184,1.112224734230128,1.373851638508877e-07
67,63401479.85770614,32.904347234244284,1.106050969898569,1.3378013004777678e-07
68,63882106.91933436,32.932722597081955,1.100312026695356,1.3033934010819748e-07
69,64351576.24480089,32.96086887410726,1.095022352052447,1.2705774961504837e-07
70,64810297.349363506,32.98871214284329,1.090135352585242,1.2394219439056017e-07
71,65258385.707485884,33.01626907533201,1.085636567741059,1.2092211228959393e-07
72,65696000.26510867,33.04354819163136,1.081510060005912,1.1807127854772033e-07
73,66123359.54262962,33.07053063195951,1.077732292000505,1.1534036435798811e-07
74,66540581.09768721,33.097236066982184,1.074293050472056,1.1270247655004248e-07
75,66947865.70537741,33.123652472881304,1.07117323734468,1.101903071190033e-07
76,67345340.92261082,33.14979367541897,1.068362432483512,1.0775922986215427e-07
77,67733185.02460273,33.1756550022234,1.065845931894782,1.054411351921497e-07
78,68111553.30148843,33.201239717773554,1.063611442984833,1.0321196843458749e-07
79,68480610.79614103,33.2265427945903,1.061645831979081,1.0108439944827776e-07
80,68840495.50419831,33.251574954621965,1.059940715813457,9.903509944190489e-08
81,69191362.28606118,33.27633616718379,1.058485328547148,9.704298677631544e-08
82,69533363.283222,33.300827284204644,1.057269759779247,9.51213005266886e-08
83,69866644.78476715,33.325050707231796,1.056284989051909,9.328383626302217e-08
84,70191346.67961273,33.34901082088603,1.0555233022922,9.150954385107374e-08
85,70507640.41764651,33.37269380172922,1.054972137531747,8.979436801242171e-08
86,70815623.60080004,33.39612906144858,1.054631559425241,8.813657378754059e-08
87,71115477.02733058,33.41928960700288,1.054486403836791,8.654840316638853e-08
88,71407306.94975962,33.442200714220874,1.054536104306457,8.499487085000526e-08
89,71691260.84763138,33.46485579329784,1.054771887392645,8.34898136214412e-08
90,71967471.1620538,33.487257432437715,1.055187814950364,8.204695737725463e-08
91,72236082.7619737,33.509398824263776,1.05577579769038,8.064728313826623e-08
92,72497200.80532032,33.531298906532534,1.056534651031327,7.928933949006208e-08
93,72750971.89168604,33.55294588305195,1.057455649169922,7.797087198753045e-08
94,72997518.99068686,33.57434443499543,1.058534615328921,7.670514080451031e-08
95,73236963.60141733,33.595499918457605,1.059767622621479,7.54751779007474e-08
96,73469428.81260543,33.61641173976709,1.061149232179905,7.4263878104065e-08
97,73695034.84873867,33.63708447028226,1.062676228522515,7.310025328837318e-08
98,73913900.61222444,33.6575164817811,1.064343521896538,7.196736304963636e-08
99,74126142.85205944,33.677712960986554,1.066147915667193,7.086407717308329e-08
100,74331876.68218654,33.6976751562934,1.068085564116971,6.978887535314369e-08
101,74531223.87116207,33.71738809163477,1.070148898508073,6.875478276528758e-08
102,74724272.5958622,33.73690167973133,1.07234608189605,6.774690715267243e-08
103,74911155.89436059,33.756171064558096,1.074662594669371,6.676307829534625e-08
104,75091975.78321013,33.775208760793,1.077097963442738,6.580242489682434e-08
105,75266828.48455594,33.79405604453831,1.079658454388738,6.486472443027258e-08
106,75435843.66689956,33.81262224456946,1.082319621433894,6.394732597683799e-08
107,75599101.1795461,33.83099606620945,1.085099019265194,6.30507817144707e-08
108,75756710.74296635,33.84915111934649,1.087987369050714,6.217380454029267e-08
109,75908772.80819295,33.867082571580994,1.090980855566127,6.13433838026843e-08
110,76055385.68589212,33.88480909225861,1.094080763343798,6.050303940223508e-08
111,76196642.81831646,33.902317259767756,1.097281524604498,5.970751109062901e-08
112,76332651.13347924,33.91966444321693,1.100593283359459,5.890142239816888e-08
113,76463496.7451207,33.93675866028042,1.103992804327247,5.813767590150929e-08
114,76589270.05398625,33.953645936913844,1.10748805170997,5.7388847111436633e-08
115,76710065.38451967,33.970327478224085,1.111076952088424,5.664092387313607e-08
116,76825972.82746059,33.98680528050344,1.114757783795036,5.590690120850069e-08
117,76937079.67645189,34.003082359505555,1.118528851177203,5.5199415207804605e-08
118,77043473.54004295,34.019159929821605,1.12238848120269,5.4504608918706564e-08
119,77145237.25377542,34.03503983863159,1.126335012954774,5.382192561740878e-08
120,77242458.59587893,34.05072465103511,1.130366810994787,5.316408314334341e-08
121,77335219.24742098,34.06621492347338,1.134482261904173,5.251742941073198e-08
122,77423599.74978614,34.08151190435289,1.138679812226455,5.1868140628592577e-08
123,77507681.49587688,34.09661983411222,1.142958418572342,5.1229285986225385e-08
124,77587540.81373306,34.111539346892016,1.147316548044331,5.0626278121110765e-08
125,77663258.2342979,34.12627086634608,1.15175255326556,5.000671909216062e-08
126,77734909.18702546,34.14081949694395,1.156265840446348,4.942215681141019e-08
127,77802566.99768507,34.15518424479002,1.16085470195716,4.883326329610149e-08
128,77866310.43255495,34.16936769608457,1.165518077744819,4.825274551416521e-08
129,77926210.3596814,34.183372253281675,1.170254892937403,4.7693110723653894e-08
130,77982334.97705981,34.19719641276106,1.175063366958726,4.712824569615707e-08
131,78034757.45067723,34.21084499120012,1.179943194542771,4.658360036021359e-08
132,78083543.32856557,34.2243188276613,1.1848930513172,4.603326343248168e-08
133,78128766.09511249,34.23761994625541,1.18991193956029,4.5502259799959296e-08
134,78170491.85671513,34.25074913261863,1.19499876561376,4.49780026319227e-08
135,78208785.49693152,34.26371152762572,1.200153415668551,4.4459952021035865e-08
136,78243711.95177022,34.27650489220263,1.205373977044574,4.396041384198718e-08
137,78275340.0930211,34.28913622636943,1.210660840488157,4.345406174445138e-08
138,78303716.90723164,34.30159345749053,1.216010088835239,4.296571786092702e-08
139,78328920.54437757,34.31389249514235,1.221424016376309,4.247007430878299e-08
140,78351006.20758007,34.32602903482686,1.226900439350318,4.19794767787298e-08
141,78370035.1286245,34.338007884692296,1.232439340053603,4.150632696520707e-08
142,78386060.29525083,34.3498249593981,1.238038674451478,4.103776859398256e-08
143,78399146.06766164,34.361487021940896,1.243698956668822,4.057368376364297e-08
144,78409348.35571724,34.37299503411037,1.249419134545858,4.011382070017138e-08
145,78416723.33891468,34.3843474442125,1.255197915801348,3.9658029540442784e-08
146,78421321.94606727,34.39554922181286,1.261035370610611,3.9206151554349824e-08
147,78423202.04216781,34.4065998524791,1.266930241252596,3.877047937947551e-08
148,78422418.07098669,34.41750139296136,1.272882219802139,3.8325849824718e-08
149,78419016.89563315,34.42825494386275,1.278890328476275,3.788466404979141e-08
150,78413056.32513471,34.43886230835868,1.284954206719033,3.745919474299553e-08
151,78404584.90352413,34.44932568761738,1.291073269663083,3.702435092847751e-08
152,78393652.00660388,34.45964483124349,1.297246608890096,3.6604945603158015e-08
153,78380301.6860729,34.469822091820525,1.303473879455062,3.6175896811703864e-08
154,78364590.36106277,34.47985787900618,1.309754102506192,3.57619828776123e-08
155,78346564.76759066,34.489755806955216,1.316087405242835,3.5350646538606635e-08
156,78326266.21979412,34.49951612980129,1.322472736459196,3.494174059134145e-08
157,78303744.35094914,34.50913930182092,1.32890977559832,3.453515118134216e-08
158,78279040.64017351,34.51862771239724,1.335397732940037,3.4130762289767854e-08
159,78252204.8139149,34.52798095704724,1.341935923220718,3.372845107426073e-08
160,78223281.18682122,34.53720598079895,1.348525117662497,3.3328147947263914e-08
161,78192304.50684518,34.54629650687937,1.355162920600079,3.292968190616086e-08
162,78159323.14995189,34.55525787987434,1.361850119262282,3.2532997699715144e-08
163,78124378.78927758,34.56409214002443,1.368586003821631,3.213801501102975e-08
164,78087518.00163227,34.572803365906914,1.375370800109236,3.175701208926706e-08
165,78048756.9019206,34.58137894287588,1.382201083822616,3.136501492843729e-08
166,78008162.5164961,34.58983592002411,1.389079815004499,3.097444110724012e-08
167,77965759.0895922,34.598167811891365,1.396004953778912,3.059759370852687e-08
168,77921593.65551065,34.6063793879508,1.402976488406142,3.020950631389571e-08
169,77875695.4512721,34.61447002261266,1.409993979369791,2.983503007275229e-08
170,77828117.13398598,34.62244528526202,1.417057621221262,2.9449127884692186e-08
171,77778854.95815371,34.630289395184036,1.424163397765325,2.9076641402956814e-08
172,77727995.68612818,34.63802696069163,1.431316011756008,2.8692595680888663e-08
173,77675544.50987522,34.645645730917956,1.438512088321778,2.8321840331628446e-08
174,77621545.07584295,34.65315084067484,1.445751989780883,2.7939321941982342e-08
175,77566022.41930634,34.660538816944275,1.453034563858479,2.756996126787025e-08
176,77509023.01326287,34.66781822651409,1.46036073760857,2.720122821185577e-08
177,77450574.77542527,34.67498635967265,1.467729445985847,2.682051751660719e-08
178,77390694.66008155,34.68203727211513,1.475138611051613,2.645275025432552e-08
179,77329441.50475635,34.6889855688785,1.482590840460687,2.6085424735952005e-08
180,77266828.78504701,34.69582448410892,1.490084105679346,2.5705897668429766e-08
181,77202893.97609827,34.702556977727134,1.497618451868527,2.5339180982875615e-08
182,77137690.43117733,34.70919708418058,1.505196266194187,2.4972772844194495e-08
