order,P,T,L,ST,m,dgr,M_v=8e+6,,,,t
0,808804.2361,31.28417184,3524.402678,0.020981872,5.15,-1100000,,delta1,delta2,dt,0
1,1603146.052,31.11802777,859.4306911,0.003299509,5.184422111,-440362.3651,,-0.026624902,1.477608126,6.31147E-05,6.31147E-05
2,2583754.541,31.02004016,324.5660978,0.000923886,5.218844221,-184523.3589,,-0.015769376,0.991206076,0.000243938,0.000307053
3,3680930.095,30.96228871,158.5573421,0.000352345,5.253266332,-102914.0801,,-0.009317414,0.722714076,0.000590396,0.000897448
4,4854215.628,30.92964529,90.95881047,0.000164759,5.287688442,-65527.80508,,-0.005274262,0.560451483,0.001133953,0.002031402
5,6077546.264,30.91392556,58.12493642,8.83E-05,5.322110553,-46395.76684,,-0.002541855,0.453301001,0.00188112,0.003912522
6,7335204.816,30.90999334,40.08048658,5.21E-05,5.356532663,-35660.10135,,-0.000636034,0.378390387,0.002840558,0.00675308
7,8615202.442,30.91476387,29.24433523,3.31E-05,5.390954774,-28810.43865,,0.000771621,0.323074893,0.004012215,0.010765295
8,9909154.041,30.92611442,22.2828481,2.23E-05,5.425376884,-24145.16383,,0.001835444,0.280775426,0.005388128,0.016153423
9,11210278.12,30.94262499,17.57077057,1.57E-05,5.459798995,-20800.88359,,0.002668645,0.247370545,0.006956635,0.023110058
10,12513984.34,30.96317842,14.24314044,1.15E-05,5.494221106,-18281.68703,,0.003320115,0.220475565,0.008707607,0.031817666
11,13816336.36,30.98698593,11.81128328,8.64E-06,5.528643216,-16314.72397,,0.00384301,0.198333479,0.010623539,0.042441205
12,15114235.72,31.01343829,9.982663885,6.68E-06,5.563065327,-14748.86232,,0.004266482,0.179812116,0.012688359,0.055129563
13,16405200.11,31.04205725,8.574181814,5.29E-06,5.597487437,-13488.80737,,0.004611834,0.164106193,0.014888061,0.070017625
14,17687378.58,31.07244179,7.466651039,4.26E-06,5.631909548,-12463.83321,,0.004891699,0.150647986,0.017212148,0.087229773
15,18958682.77,31.10434013,6.580633263,3.49E-06,5.666331658,-11616.43062,,0.005130266,0.138932917,0.01964083,0.106870603
16,20218102.79,31.137457,5.860554617,2.90E-06,5.700753769,-10901.65414,,0.005320682,0.128721423,0.022167684,0.129038287
17,21464488.99,31.17158854,5.267413395,2.44E-06,5.735175879,-10286.71264,,0.005477785,0.1197144,0.024772576,0.153810863
18,22696882.17,31.20656605,4.773001664,2.08E-06,5.76959799,-9749.105787,,0.005607335,0.111713351,0.027438096,0.181248959
19,23914529.42,31.24224197,4.356495967,1.79E-06,5.804020101,-9273.397934,,0.005712828,0.104564846,0.030148224,0.211397182
20,25116810.37,31.27849151,4.002285057,1.55E-06,5.838442211,-8848.538967,,0.005798005,0.09814166,0.032887428,0.24428461
21,26303203.52,31.31520926,3.698486553,1.36E-06,5.872864322,-8466.344089,,0.005866048,0.092339536,0.035640821,0.279925431
22,27473312.78,31.3523021,3.435918158,1.20E-06,5.907286432,-8120.507126,,0.005918992,0.087076188,0.038395553,0.318320984
23,28627151.91,31.38964519,3.207295094,1.07E-06,5.941708543,-7806.007503,,0.005951856,0.082304304,0.041147748,0.359468732
24,29763521.45,31.42729176,3.007244588,9.54E-07,5.976130653,-7518.977562,,0.005993063,0.077875458,0.043854268,0.403323001
25,30883011.92,31.46507938,2.830976944,8.59E-07,6.010552764,-7255.941498,,0.006008301,0.07386223,0.046545632,0.449868633
26,31985268.92,31.50298196,2.674898931,7.77E-07,6.044974874,-7014.044577,,0.006019337,0.070152766,0.049189582,0.499058215
27,33070226.02,31.54094844,2.536023962,7.07E-07,6.079396985,-6790.814124,,0.006022229,0.066728195,0.051783038,0.550841253
28,34137803.63,31.57893987,2.411912801,6.46E-07,6.113819095,-6584.122594,,0.006018934,0.06355473,0.054316574,0.605157827
29,35187975.87,31.61691973,2.300544116,5.93E-07,6.148241206,-6392.14428,,0.006009868,0.060607369,0.056783469,0.661941296
30,36220749.62,31.65485521,2.200234395,5.47E-07,6.182663317,-6213.29102,,0.005995642,0.057863507,0.059177337,0.721118633
31,37236136.45,31.69271985,2.109575241,5.06E-07,6.217085427,-6046.198249,,0.005977285,0.055302147,0.061491673,0.782610306
32,38234199.44,31.73048706,2.027374809,4.70E-07,6.251507538,-5889.666357,,0.005954795,0.052907547,0.063722257,0.846332563
33,39215023.13,31.76813162,1.952620643,4.38E-07,6.285929648,-5742.672154,,0.005928408,0.050664473,0.065864613,0.912197176
34,40178672.73,31.8056372,1.884456129,4.09E-07,6.320351759,-5604.300099,,0.00589954,0.048557588,0.067914047,0.980111223
35,41125265.15,31.84298351,1.822140919,3.84E-07,6.354773869,-5473.749173,,0.005867577,0.04657687,0.069868218,1.049979441
36,42054923.22,31.88015345,1.765038219,3.61E-07,6.38919598,-5350.323044,,0.00583304,0.04471133,0.071724371,1.121703812
37,42967765.76,31.91713454,1.712600102,3.40E-07,6.42361809,-5233.403854,,0.005796657,0.042950783,0.073480182,1.195183993
38,43863941.35,31.95391211,1.664346963,3.21E-07,6.458040201,-5122.442614,,0.005758099,0.041287732,0.075134647,1.27031864
39,44743597.34,31.99047528,1.619862796,3.04E-07,6.492462312,-5016.948253,,0.005717965,0.039714124,0.07668657,1.34700521
40,45607125.16,32.0267736,1.578751848,2.89E-07,6.526884422,-4916.480613,,0.005670087,0.038233527,0.078143781,1.425148991
41,46454164.35,32.06288624,1.540761622,2.75E-07,6.561306533,-4820.675137,,0.005634708,0.036806389,0.079480785,1.504629776
42,47285169.17,32.09875784,1.505572034,2.62E-07,6.595728643,-4729.169197,,0.005590818,0.035463027,0.08072266,1.585352437
43,48100374.21,32.13436987,1.472925025,2.50E-07,6.630150754,-4641.649337,,0.005544187,0.034188182,0.081864136,1.667216573
44,48899886.64,32.16972874,1.442607788,2.40E-07,6.664572864,-4557.832049,,0.005498698,0.032971736,0.082902389,1.750118961
45,49683933.41,32.20482036,1.414417296,2.30E-07,6.698994975,-4477.460605,,0.005451164,0.031814404,0.083841723,1.833960684
46,50452681.19,32.23964315,1.388179915,2.21E-07,6.733417085,-4400.305564,,0.005403538,0.030709769,0.084681993,1.918642677
47,51206327.05,32.2741903,1.363736446,2.12E-07,6.767839196,-4326.153177,,0.005355,0.029655504,0.085425493,2.004068169
48,51945051.61,32.30845976,1.340946689,2.04E-07,6.802261307,-4254.820268,,0.005306296,0.028647701,0.086074189,2.090142358
49,52669043.79,32.34244858,1.319683373,1.97E-07,6.836683417,-4186.123529,,0.005257286,0.027683721,0.086630034,2.176772393
50,53378493.87,32.37615417,1.299832247,1.90E-07,6.871105528,-4119.911769,,0.005208024,0.026760898,0.087095378,2.26386777
51,54073596.78,32.40957324,1.281289046,1.84E-07,6.905527638,-4056.028863,,0.005158401,0.025876909,0.087472519,2.351340289
52,54754548.21,32.44270328,1.263959634,1.78E-07,6.939949749,-3994.349613,,0.005108539,0.025029485,0.087764217,2.439104506
53,55421535.06,32.47554517,1.247760295,1.73E-07,6.974371859,-3934.750266,,0.005058964,0.024216192,0.087973801,2.527078307
54,56074783.65,32.50808893,1.232609575,1.68E-07,7.00879397,-3877.101845,,0.005007994,0.023436505,0.088102986,2.615181293
55,56714446.36,32.54034329,1.218441607,1.63E-07,7.04321608,-3821.315608,,0.004958516,0.02268597,0.088155028,2.703336321
56,57340716.89,32.5723065,1.205191381,1.59E-07,7.077638191,-3767.293794,,0.004908911,0.021964439,0.088132234,2.791468555
57,57953844.66,32.6039651,1.19279467,1.55E-07,7.112060302,-3714.93829,,0.004857383,0.0212723,0.08803806,2.879506615
