order,P,T,L_s,ST,M,a=0.3,M_c=3,,t
0,4436599.624,21.60065072,5.252873736,2.45E-05,3.1,delta1,delta2,dt,0
1,6079121.215,21.56393973,2.782542212,9.98E-06,3.122110553,-0.00850489,0.640411459,0.019377879,0.019377879
2,7769239.724,21.54912198,1.70640659,4.97E-06,3.144221106,-0.003436953,0.495559958,0.034758584,0.054136464
3,9487376.951,21.54854197,1.151514064,2.82E-06,3.166331658,-0.000134579,0.402243302,0.054502764,0.108639227
4,11220651.64,21.55787609,0.83107107,1.76E-06,3.188442211,0.002165365,0.337164557,0.078301641,0.186940868
5,12960056.49,21.57444653,0.630350317,1.17E-06,3.210552764,0.003841769,0.28923092,0.10578252,0.292723389
6,14699016.9,21.5964813,0.496701329,8.22E-07,3.232663317,0.005104079,0.252482997,0.13653886,0.429262249
7,16432631.99,21.62274468,0.403377343,6.02E-07,3.254773869,0.006076782,0.223439209,0.170155513,0.599417762
8,18157062.4,21.65234721,0.335689602,4.57E-07,3.276884422,0.006840551,0.199912377,0.206209282,0.805627044
9,19869359.92,21.68462187,0.285048216,3.56E-07,3.298994975,0.007447379,0.180482556,0.244299067,1.049926112
10,21567173.85,21.71905838,0.246170884,2.84E-07,3.321105528,0.00793401,0.164170982,0.284034664,1.333960776
11,23248623,21.75525814,0.215669294,2.31E-07,3.34321608,0.008326707,0.150288028,0.325048769,1.659009545
12,24912207.45,21.79290338,0.191291278,1.92E-07,3.365326633,0.008644514,0.138334139,0.367000831,2.026010376
13,26556714.9,21.83173702,0.171493515,1.61E-07,3.387437186,0.008901775,0.127936468,0.40957312,2.435583496
14,28181163.74,21.87154918,0.155190686,1.37E-07,3.409547739,0.009109656,0.118812114,0.452473754,2.88805725
15,29784762.81,21.91216539,0.141601268,1.18E-07,3.431658291,0.009276565,0.110742802,0.495436429,3.383493679
16,31366896.87,21.95343962,0.130151352,1.03E-07,3.453768844,0.009409256,0.103558518,0.538226636,3.921720315
17,32927058.41,21.99524879,0.120411794,9.08E-08,3.475879397,0.009513185,0.097121464,0.580622122,4.502342438
18,34464866.14,22.03748855,0.112056545,8.05E-08,3.49798995,0.009592818,0.091323042,0.622435959,5.124778396
19,35980033.65,22.08006847,0.104834075,7.19E-08,3.520100503,0.009651478,0.086074012,0.663497609,5.788276005
20,37472323.3,22.12291213,0.098548059,6.47E-08,3.542211055,0.009692491,0.081299276,0.703648304,6.491924309
21,38941584.11,22.16595241,0.093043299,5.85E-08,3.564321608,0.009718089,0.076939094,0.742763313,7.234687622
22,40387764.52,22.20913017,0.088195806,5.33E-08,3.586432161,0.009730193,0.072944564,0.780748489,8.01543611
23,41810775.24,22.25239567,0.083905564,4.88E-08,3.608542714,0.009731005,0.069268254,0.817471276,8.832907386
24,43210630.27,22.29570385,0.080091123,4.48E-08,3.630653266,0.009721677,0.065876804,0.852877501,9.685784887
25,44587370.33,22.33901489,0.076685592,4.14E-08,3.652763819,0.009703452,0.062738497,0.886895904,10.57268079
26,45941054.54,22.38229457,0.073633646,3.84E-08,3.674874372,0.009677651,0.059825937,0.9194677,11.49214849
27,47271778.05,22.42551207,0.070889216,3.58E-08,3.696984925,0.00964509,0.057116375,0.950553971,12.44270246
28,48579640.18,22.46864057,0.06841359,3.34E-08,3.719095477,0.009606717,0.054588891,0.980112789,13.42281525
29,49864814.99,22.51165474,0.066174136,3.13E-08,3.74120603,0.009562901,0.052228188,1.008151547,14.4309668
30,51127445.24,22.5545334,0.064143161,2.95E-08,3.763316583,0.009514605,0.050016809,1.034630169,15.46559697
31,52367708.59,22.59725679,0.062296951,2.78E-08,3.785427136,0.009462179,0.047942012,1.059552976,16.52514994
32,53585762.14,22.63980855,0.060615205,2.63E-08,3.807537688,0.0094064,0.045990548,1.082902649,17.60805259
33,54781820.59,22.68217301,0.059080441,2.49E-08,3.829648241,0.009347451,0.04415358,1.104714535,18.71276713
34,55956066.89,22.72433697,0.057677527,2.37E-08,3.851758794,0.009285892,0.04242011,1.124973469,19.8377406
35,57108775.27,22.76628629,0.05639325,2.25E-08,3.873869347,0.009221539,0.040784675,1.14375186,20.98149246
36,58240103.67,22.80801146,0.055216068,2.15E-08,3.895979899,0.009155425,0.039235309,1.160989191,22.14248165
37,59350294.75,22.84950365,0.054135982,2.06E-08,3.918090452,0.009087709,0.037768051,1.176770411,23.31925206
38,60439631.16,22.89075081,0.053144027,1.97E-08,3.940201005,0.009017701,0.0363779,1.191132549,24.51038461
39,61508289.68,22.93174781,0.052232399,1.89E-08,3.962311558,0.008946922,0.03505564,1.204045768,25.71443038
40,62556507.34,22.97248801,0.051394179,1.82E-08,3.984422111,0.008875048,0.033798225,1.215578618,26.93000899
41,63584589.28,23.01296266,0.050623179,1.75E-08,4.006532663,0.008801627,0.032603181,1.225808355,28.15581735
42,64592738.16,23.0531672,0.049913893,1.69E-08,4.028643216,0.008727578,0.031463014,1.234697783,29.39051513
43,65581217.91,23.09309706,0.049261452,1.63E-08,4.050753769,0.008652897,0.030375869,1.242337952,30.63285308
44,66550256.85,23.13274992,0.048661512,1.58E-08,4.072864322,0.008578077,0.029337176,1.248743625,31.88159671
45,67500151.07,23.17211632,0.048109975,1.53E-08,4.094974874,0.008501574,0.028345812,1.253966344,33.13556305
46,68431127.5,23.21119772,0.047603444,1.48E-08,4.117085427,0.008425752,0.027396788,1.258051643,34.3936147
47,69343394.49,23.24999087,0.047138625,1.44E-08,4.13919598,0.008349588,0.026486958,1.260983952,35.65459865
48,70237281.18,23.28849122,0.046712684,1.40E-08,4.161306533,0.008272805,0.025617396,1.262919878,36.91751853
49,71112956.01,23.32669909,0.04632295,1.36E-08,4.183417085,0.008196447,0.024781237,1.263762865,38.18128139
50,71970760.88,23.36460897,0.045967044,1.32E-08,4.205527638,0.008119263,0.023981365,1.263692397,39.44497379
51,72810864.03,23.40222354,0.045642834,1.29E-08,4.227638191,0.008043008,0.023210996,1.262626155,40.70759994
52,73633543.49,23.43953856,0.045348287,1.26E-08,4.249748744,0.00796619,0.022471474,1.260664502,41.96826444
53,74439032.25,23.4765566,0.045081684,1.23E-08,4.271859296,0.007890269,0.02175994,1.257857765,43.22612221
54,75227631.46,23.51327171,0.044841289,1.20E-08,4.293969849,0.007813423,0.021076734,1.25424369,44.4803659
55,75999493.85,23.54968852,0.04462564,1.18E-08,4.316080402,0.007737897,0.020416509,1.249785311,45.73015121
