order,P,T,L_s,ST
0,2044526.882,26.61874437,141.2901732,0.000793932
1,3345988.307,26.52462467,51.74500674,0.000202605
2,4756996.447,26.47526768,25.42009467,7.58E-05
3,6235209.651,26.45172674,14.7940456,3.55E-05
4,7753699.27,26.44498893,9.608841874,1.92E-05
5,9439601.019,26.43320958,6.502597713,1.10E-05
6,10856221.84,26.46259039,4.985571311,7.49E-06
7,12420367.38,26.48176053,3.851926208,5.14E-06
8,13984376.86,26.50571649,3.076616854,3.69E-06
9,15543661.77,26.5334253,2.523957203,2.75E-06
10,17094617.204784516,26.564124209573823,2.1165333615321527,2.113207852438201e-06,4.415477386934674
11,18634414.02,26.59723068,1.807695452,1.66E-06
12,20160807.81,26.63229013,1.568041255,1.34E-06
13,21671968.76,26.66894481,1.378335546,1.10E-06
14,23166444.51,26.70690435,1.225572065,9.15E-07
15,24643058.62,26.74593246,1.10071427,7.74E-07
16,26100839.92,26.78583397,0.997326568,6.62E-07
17,27539044.52,26.82644605,0.910730376,5.72E-07
18,28957039.96,26.86763195,0.83745652,5.00E-07
19,30354351.28,26.90927559,0.774891273,4.40E-07
20,31730599.44,26.95127709,0.721033437,3.91E-07
21,33085502.73,26.99355141,0.67433162,3.50E-07
22,34418823.7,27.03602573,0.633567211,3.15E-07
23,35730457.53,27.07863502,0.597772248,2.85E-07
24,37020294.7,27.12132385,0.56617024,2.60E-07
25,38288317.96,27.16404277,0.53813166,2.38E-07
26,39534493.33,27.20675142,0.513143536,2.19E-07
27,40758898.92,27.24940906,0.490781186,2.02E-07
28,41961594.15,27.29198344,0.470693878,1.87E-07
29,43142676.58,27.33444573,0.452588364,1.74E-07
30,44302268.69,27.37676869,0.436217132,1.63E-07
31,45440498.69,27.41893045,0.421371433,1.52E-07
32,46557566.33,27.46090878,0.407873835,1.43E-07
33,47653594.98,27.50268772,0.395572351,1.35E-07
34,48728796.53,27.54424805,0.384335741,1.28E-07
35,49783397.9,27.58557699,0.374052093,1.21E-07
36,50817540.85,27.62666316,0.364623108,1.15E-07
37,51831522.29,27.66749076,0.355963121,1.09E-07
38,52825528.58,27.7080527,0.3479983,1.04E-07
39,53799769.72,27.74834001,0.340662906,9.94E-08
40,54754506.23,27.78834393,0.333899492,9.51E-08
41,55689984.07,27.82805684,0.327657026,9.12E-08
42,56606437.04,27.86747311,0.321890492,8.76E-08
43,57504135.88,27.90658572,0.316559657,8.43E-08
44,58383261.9,27.94539294,0.31162883,8.12E-08
45,59244137.44,27.98388751,0.307066037,7.83E-08
46,60086974.89,28.02206733,0.302842598,7.57E-08
47,60912028.66,28.05992988,0.298932875,7.32E-08
48,61719568.45,28.09746916,0.295313194,7.09E-08
49,62509822.03,28.13468715,0.291963156,6.88E-08
50,63283045.52,28.17157992,0.288863477,6.68E-08
51,64039507.15,28.20814475,0.285996876,6.49E-08
52,64779436.11,28.24438321,0.283348072,6.31E-08
53,65503093.39,28.28029171,0.280902447,6.15E-08
54,66210720.67,28.31587198,0.278647356,5.99E-08
55,66902560.48,28.35112124,0.276570586,5.85E-08
56,67578848.4,28.38604267,0.274661776,5.71E-08
57,68239826.68,28.42063415,0.272910516,5.58E-08
58,68885748.8,28.4548959,0.271307769,5.46E-08
59,69516869.24,28.48882662,0.269845172,5.34E-08
60,70133345.89,28.52243387,0.268515203,5.23E-08
61,70735488.25,28.55571112,0.267310401,5.13E-08
62,71323498.33,28.58866207,0.266224296,5.03E-08
63,71897606.71,28.62128742,0.265250774,4.94E-08
64,72458036.82,28.65358852,0.264384215,4.85E-08
65,73005010.77,28.68556642,0.263619316,4.77E-08
66,73538749.17,28.71722274,0.26295126,4.69E-08
67,74059476.6,28.74855889,0.262375559,4.61E-08
68,74567384.3,28.77957631,0.26188789,4.54E-08
69,75062728.74,28.81027559,0.261484482,4.47E-08
70,75545669.96,28.84066028,0.261161546,4.41E-08
71,76016412.43,28.87073259,0.260915725,4.35E-08
72,76475197.41,28.90049436,0.260744066,4.29E-08
73,76922241.86,28.92994138,0.260643109,4.23E-08
74,77357677.36,28.95908298,0.260610331,4.18E-08
75,77781735.11,28.98791923,0.260643208,4.13E-08
76,78194628.85,29.0164502,0.260739181,4.08E-08
77,78596519.09,29.04467902,0.260895918,4.03E-08
78,78987592.57,29.07260829,0.261111294,3.99E-08
79,79368057.94,29.1002372,0.261383145,3.94E-08
80,79738073.71,29.12757623,0.261710137,3.90E-08
81,80097839.29,29.15461597,0.262089621,3.87E-08
82,80447528.34,29.1813663,0.262520508,3.83E-08
83,80787289.18,29.20782806,0.263000973,3.79E-08
84,81117327.34,29.23399957,0.263529358,3.76E-08
85,81437805.98,29.25988793,0.264104587,3.73E-08
86,81748865.05,29.28549354,0.264725059,3.70E-08
87,82050698.85,29.31081776,0.265389561,3.67E-08
88,82343479.73,29.3358627,0.266096977,3.64E-08
89,82627302.78,29.36063485,0.266846068,3.61E-08
90,82902392.84,29.3851277,0.267635542,3.58E-08
91,83168875.55,29.40935505,0.268465036,3.56E-08
92,83426919.8,29.43331061,0.269333044,3.53E-08
93,83676643.97,29.45699473,0.270238374,3.51E-08
94,83918243.07,29.48041823,0.271180992,3.49E-08
95,84151793.64,29.50358004,0.272159437,3.47E-08
96,84377508.7,29.52647896,0.273173098,3.45E-08
97,84595489.89,29.5491202,0.274221206,3.43E-08
98,84805884.93,29.57150532,0.275303049,3.41E-08
99,85008840.53,29.59363522,0.276417951,3.39E-08
100,85204450.06,29.61551698,0.277565264,3.38E-08
101,85392895.85,29.6371472,0.278744371,3.36E-08
102,85574296.87,29.6585295,0.279954682,3.35E-08
103,85748762.77,29.67966736,0.281195634,3.33E-08
104,85916439.52,29.70056093,0.282466688,3.32E-08
105,86077409.52,29.72121723,0.28376733,3.30E-08
106,86231845.44,29.74163308,0.285097093,3.29E-08
107,86379852.09,29.76180899,0.286455316,3.28E-08
108,86521531.3,29.78175947,0.287842209,3.27E-08
109,86657013.35,29.8014706,0.289256448,3.26E-08
110,86786410.08,29.82095343,0.290698161,3.25E-08
111,86909840.82,29.84020786,0.292166862,3.24E-08
112,87027391.59,29.85923814,0.293662163,3.23E-08
113,87139194.86,29.87804337,0.295183669,3.22E-08
114,87245347.87,29.89662437,0.29673091,3.21E-08
115,87345970.21,29.91499758,0.298304462,3.20E-08
116,87441145.41,29.93313779,0.299902339,3.19E-08
117,87530973.83,29.95107007,0.301525549,3.19E-08
118,87615579.96,29.96878713,0.303173413,3.18E-08
119,87695039.55,29.98629349,0.304845657,3.17E-08
120,87769462.62,30.00358424,0.306541736,3.17E-08
121,87838917.98,30.02067978,0.308262191,3.16E-08
122,87903534.96,30.037563,0.310005985,3.16E-08
123,87963384.42,30.05423894,0.311772924,3.15E-08
124,88018584.02,30.07072027,0.313563505,3.15E-08
125,88069177.1,30.08699732,0.315376625,3.14E-08
126,88115287.48,30.10307783,0.317212596,3.14E-08
127,88156989.99,30.11896188,0.319071043,3.14E-08
128,88194378.47,30.13465177,0.320951858,3.13E-08
129,88227509.28,30.15014908,0.322854672,3.13E-08
130,88256500.25,30.16545552,0.324779502,3.13E-08
131,88281407.35,30.18057454,0.32672612,3.12E-08
132,88302309.48,30.19550768,0.328694337,3.12E-08
133,88319300.2,30.2102556,0.330684017,3.12E-08
134,88332443.89,30.22481687,0.332694764,3.12E-08
135,88341823.19,30.23919877,0.334726759,3.12E-08
136,88347522.56,30.2534024,0.336779869,3.12E-08
137,88349584.24,30.26742453,0.338853525,3.12E-08
138,88348098.94,30.28127105,0.340947907,3.12E-08
139,88343145.97,30.29494807,0.343063159,3.12E-08
140,88334764.97,30.3084479,0.34519851,3.12E-08
141,88323058.12,30.32177859,0.347354343,3.12E-08
142,88308073.95,30.33493823,0.349530251,3.12E-08
143,88289883.32,30.34793026,0.351726237,3.12E-08
144,88268547.78,30.36075572,0.353942107,3.12E-08
145,88244135.57,30.37341724,0.356177885,3.12E-08
146,88216714.05,30.38591455,0.358433365,3.12E-08
147,88186323.29,30.39825312,0.360708512,3.12E-08
148,88153043.47,30.41043015,0.363003118,3.12E-08
149,88116940.75,30.42244906,0.365317214,3.13E-08
150,88078060.08,30.43430941,0.367650587,3.13E-08
151,88036435.61,30.4460201,0.370003212,3.13E-08
152,87992166.24,30.45757431,0.372374961,3.13E-08
153,87945290.4,30.4689763,0.37476577,3.14E-08
154,87895867.46,30.48022973,0.377175658,3.14E-08
155,87843934.16,30.49132951,0.379604127,3.14E-08
156,87789570.66,30.5022833,0.382051563,3.14E-08
157,87732797.36,30.51309241,0.384517754,3.15E-08
158,87673690.65,30.52375635,0.387002524,3.15E-08
159,87612313.16,30.53427665,0.389506008,3.16E-08
160,87548657.6,30.54465564,0.392027682,3.16E-08
161,87482820.33,30.55489364,0.394567858,3.16E-08
162,87414849.43,30.56499724,0.397126658,3.17E-08
163,87344754.65,30.57495484,0.399703178,3.17E-08
164,87272619.19,30.5847803,0.402298106,3.18E-08
165,87198472.88,30.59447009,0.404911153,3.18E-08
166,87122360.26,30.60402894,0.407542354,3.18E-08
167,87044342.73,30.61344901,0.410191334,3.19E-08
168,86964425.56,30.62274664,0.412858444,3.19E-08
169,86882692.52,30.63190905,0.415543311,3.20E-08
170,86799188.55,30.64095445,0.418246657,3.20E-08
171,86713875.62,30.6498573,0.420966643,3.21E-08
172,86626876.38,30.65863933,0.423704667,3.22E-08
173,86538203.96,30.66729354,0.426460145,3.22E-08
174,86447906.54,30.67583394,0.429233647,3.23E-08
175,86356010.69,30.68424468,0.432024276,3.23E-08
176,86262552.89,30.69253989,0.434832542,3.24E-08
177,86167589.04,30.70070938,0.437658059,3.24E-08
178,86071120.24,30.70876638,0.440500931,3.25E-08
179,85973212.18,30.71670502,0.443361095,3.26E-08
180,85873875.9,30.72452647,0.446238296,3.26E-08
181,85773176.2,30.73223221,0.449132736,3.27E-08
182,85671137.24,30.73982513,0.452044396,3.28E-08
183,85567758.12,30.74730888,0.454972934,3.28E-08
184,85463111.69,30.75467518,0.457918338,3.29E-08
185,85357232.24,30.76193428,0.46088094,3.30E-08
186,85250102.09,30.76908272,0.463859983,3.30E-08
187,85141811.13,30.77612641,0.466856234,3.31E-08
188,85032350.02,30.78305886,0.469868933,3.32E-08
189,84921766.87,30.78988948,0.472898532,3.32E-08
190,84810097.03,30.79661229,0.475944746,3.33E-08
191,84697347.96,30.80323358,0.479007523,3.34E-08
192,84583566.21,30.80975139,0.482086869,3.35E-08
193,84468770.07,30.81616644,0.485182628,3.35E-08
194,84352994.72,30.82247955,0.488294812,3.36E-08
195,84236282.04,30.82870129,0.491423882,3.37E-08
196,84118595.18,30.83481225,0.494568348,3.38E-08
197,84000016.43,30.840832,0.497729488,3.39E-08
198,83880574.49,30.84675404,0.500906956,3.39E-08
199,83760271.76,30.85258109,0.504100531,3.40E-08
