order,P,T,L_s,ST,M,M_c=5
0,808804.0208,31.28417265,3524.414275,0.023452708,5.15,
1,1669499.345,31.10900502,790.9337042,0.003542813,5.186934673,
2,2737855.123,31.00957069,288.5495558,0.00093376,5.223869347,
3,3932290.262,30.95337823,138.8041951,0.000346664,5.26080402,
4,5206759.713,30.92363379,79.07099722,0.000159804,5.297738693,
5,6533296.787,30.91131388,50.36664112,8.52E-05,5.334673367,
6,7893604.23,30.91115353,34.70142284,5.04E-05,5.37160804,
7,9274999.207,30.91985253,25.33078065,3.22E-05,5.408542714,
8,10668312.03,30.93521888,19.32522454,2.18E-05,5.445477387,
9,12066703.1,30.95572548,15.26444617,1.55E-05,5.48241206,
10,13464936.76,30.98027231,12.39887621,1.14E-05,5.519346734,
11,14858931.85,31.00803959,10.30514293,8.70E-06,5.556281407,
12,16245465.24,31.03840161,8.730617887,6.80E-06,5.59321608,
13,17621965.97,31.07087004,7.51748145,5.43E-06,5.630150754,
14,18986354.16,31.10505866,6.563296999,4.42E-06,5.667085427,
15,20336950.23,31.14065566,5.799337707,3.66E-06,5.704020101,
16,21672394.9,31.17740579,5.178160244,3.07E-06,5.740954774,
17,22991570.25,31.21510002,4.666216207,2.62E-06,5.777889447,
18,24293584.1,31.25356207,4.239235545,2.25E-06,5.814824121,
19,25577701.37,31.29264527,3.879333184,1.96E-06,5.851758794,
20,26843341.99,31.33222415,3.573096877,1.71E-06,5.888693467,
21,28090042.25,31.37219192,3.310309817,1.52E-06,5.925628141,
22,29317436.8,31.41245733,3.083085654,1.35E-06,5.962562814,
23,30525254.6,31.45294073,2.88525485,1.21E-06,5.999497487,
24,31713288.45,31.49357412,2.71193668,1.09E-06,6.036432161,
25,32881404.66,31.53429701,2.559229286,9.91E-07,6.073366834,
26,34029509.52,31.57505817,2.423983258,9.04E-07,6.110301508,
27,35157582.91,31.61581045,2.3036327,8.29E-07,6.147236181,
28,36265598.43,31.65651429,2.196071734,7.63E-07,6.184170854,
29,37353614.63,31.6971343,2.099559132,7.05E-07,6.221105528,
30,38421692.51,31.73763871,2.012641675,6.54E-07,6.258040201,
31,39469921.93,31.77800033,1.934102818,6.09E-07,6.294974874,
32,40498422.36,31.81819397,1.862913865,5.69E-07,6.331909548,
33,41507329.12,31.85819779,1.798202816,5.34E-07,6.368844221,
34,42496792,31.89799283,1.739225541,5.02E-07,6.405778894,
35,43466986.07,31.93756058,1.685342952,4.73E-07,6.442713568,
36,44418075.03,31.97688965,1.636007752,4.47E-07,6.479648241,
37,45350260.56,32.01596078,1.590738618,4.23E-07,6.516582915,
38,46263750.41,32.0547648,1.549125515,4.02E-07,6.553517588,
